Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00526302922710908,-0.00222021526224785,-0.182754512152733,0,0,0,88.44477003211,28.4958742357906,4.33649487411862E-15,-2.16690182626943E-15,9.60716360367091,-2.29974372957519E-15,28.1329082282666,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/base_link.STL,,table1-1;Franka_Research_3_v2-1/base_plate-1;Franka_Research_3_v2-2/base_plate-1,Table-base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Base,-0.02572150748049,-0.000140726398872359,0.058323829930625,0,0,0,2.53458536659595,0.00669301732459353,-1.22000806867493E-05,-0.00112343988693221,0.0094825459949898,-3.09364675580277E-06,0.00886795023888272,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Left_Base.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Left_Base.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_BaseLink_Base-1,Left_FR3_Base,Left_Base_Link1,Left_Base_Joint,fixed,-0.199999999999999,-0.405,0.0199999999999997,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Llink1,-9.35200840483652E-07,-0.0341173390375901,0.265780620980791,0,0,0,2.41043252332017,0.0156481239457329,2.63939401144597E-08,-1.01730416693225E-07,0.0136175207499885,0.00407833803718911,0.00564870947539528,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink1.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink1.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Shoulder_01-1,Left_FR3_Base,Left_Base_Link1,Llink1joint,revolute,0,0,0,0,0,0,Left_Base,0,0,-1,0,0,-1,2,,,,,,,,
Llink2,-9.6410482260112E-07,0.0341173135070448,0.067220148384825,0,0,0,2.41043114965556,0.0156482096638639,-2.31242554719891E-08,2.48896575754663E-09,0.0136175968784074,0.00407839831350163,0.00564871169482988,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink2.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink2.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Shoulder_02-1,Left_FR3_Link2,Left_Link1-2,Llink2Joint,revolute,0,0,0.333000000000001,0,0,0,Llink1,0,-1,0,0,0,-2.5,2,,,,,,,,
Llink3,0.0416719643245417,0.0241478137788811,0.0853335284793129,0,0,0,1.86279109697409,0.00648832079887137,-0.00179221849271022,-0.00271679019298131,0.00805304030208699,-0.001653627436221,0.00678540047623505,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink3.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink3.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Elbow_01-1,Left_FR3_Link3,Left_Link2-3,Llink3Joint,revolute,0,0,0.192999999999998,0,0,0,Llink2,0,0,-1,0,0,-2,2,,,,,,,,
Llink4,0.0376185376007667,-0.0236477821620418,0.0408313553264404,0,0,0,1.86279184672263,0.00678534517458745,-0.00165364565812748,-0.00271678088423764,0.00805304835814708,-0.00179222922608784,0.00648839037275229,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink4.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink4.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Elbow_02-2,Left_FR3_Link4,Left_Link3-4,Llink4Joint,revolute,0.0825029759386397,-0.000499999999995782,0.122951621230076,0,0,0,Llink3,0,1,0,0,0,-2,2,,,,,,,,
Llink5,0.144377260172375,0.0442888127502128,-1.06140328326454E-06,0,0,0,1.83354771852399,0.00424877740804917,-0.00515154572783944,1.50739074994663E-07,0.0204127569491573,-2.96122751552027E-08,0.0226383640304586,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink5.STL,1,1,1,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink5.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_LowerArm-1,Left_FR3_Link5,Left_Link4-5,Llink5Joint,revolute,0.123951621230082,0.000499999999998058,0.0825029759386526,0,0,0,Llink4,-1,0,0,0,0,-2,2,,,,,,,,
Llink6,0.0530701815183106,-0.0233041979058553,0.00783478845337626,0,0,0,1.25259359285124,0.00185484814187435,-0.000347756952793412,-0.000202843780250681,0.00387305662560326,-5.05843507269165E-05,0.0032231622983116,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink6.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Llink6.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Wrist-1,Left_FR3_Link6,Left_Link5-6,Llink6Joint,revolute,0.260000000000015,0.0164010000000189,0,0,0,0,Llink5,0,1,0,0,0,-2,2,,,,,,,,
Link7,0.00933712971524547,-0.0091988509618956,-0.026560659070341,0,0,0,0.389527457929512,0.000242951521571239,-8.75526764784009E-06,3.3516983764087E-06,0.000243994424393335,-2.05506263415771E-06,0.000344785097297413,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Link7.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Link7.STL,,Franka_Research_3_v2-1/Franka_Research_3_v2_Link_Flange-1,Left_FR3_Link7,Left_Link6-7,Lilnk7Joint,revolute,0.0880121744510445,-0.0164293917695358,-0.0504500000323069,0,0,0,Llink6,0,0,1,0,0,-2,2,,,,,,,,
Lhand,8.9653582960536E-05,-0.000103408255135606,-0.0291570932173922,0,0,0,0.387415724279654,0.000745780160170052,0.00056612914796683,6.89669505962073E-07,0.000746052124636826,-5.10436307276305E-07,0.0012238613807458,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Lhand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FR3-dual-arm_description_0820/meshes/Lhand.STL,,Franka_Hand_Reasearch_FR3_movable-1/Franka_Hand_FR3-1,Left_FR3_Hand,Left_Link6-7,LhandJoint,fixed,-1.21744766281573E-05,2.93917695260992E-05,-0.0541500552316524,0,0,0,Link7,0,0,0,,,,,,,,,,,,
